Film ID,Title,Year,Rated,Released,Runtime (min),Director,Writer,Actors,Rotten Tomatoes Rating (%),Metascore,IMDB Rating,Box Office ($),Franchise
28,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,2021-09-03,132,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Leung Chiu-wai",91,71,7.4,224543292,MCU
29,Shazam!,2019,PG-13,2019-04-05,132,David F. Sandberg,"Henry Gayden, Darren Lemke, Bill Parker","Zachary Levi, Mark Strong, Asher Angel",90,71,7.0,140480049,DCEU
30,Shazam! Fury of the Gods,2023,PG-13,2023-03-17,130,David F. Sandberg,"Henry Gayden, Chris Morgan, Bill Parker","Zachary Levi, Asher Angel, Jack Dylan Grazer",49,47,6.0,57638006,DCEU
31,Spider-Man: Far from Home,2019,PG-13,2019-07-02,129,Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Samuel L. Jackson, Jake Gyllenhaal",90,69,7.4,390532085,MCU
32,Spider-Man: Homecoming,2017,PG-13,2017-07-07,133,Jon Watts,"Jonathan Goldstein, John Francis Daley, Jon Watts","Tom Holland, Michael Keaton, Robert Downey Jr.",92,73,7.4,334201140,MCU
33,Spider-Man: No Way Home,2021,PG-13,2021-12-17,148,Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch",93,71,8.2,814115070,MCU
34,Suicide Squad,2016,PG-13,2016-08-05,123,David Ayer,"David Ayer, John Ostrander","Will Smith, Jared Leto, Margot Robbie",26,40,5.9,325100054,DCEU
35,The Avengers,2012,PG-13,2012-05-04,143,Joss Whedon,"Joss Whedon, Zak Penn","Robert Downey Jr., Chris Evans, Scarlett Johansson",91,69,8.0,623357910,MCU
36,The Flash,2023,PG-13,2023-06-16,144,Andy Muschietti,"Christina Hodson, John Francis Daley, Jonathan Goldstein","Ezra Miller, Michael Keaton, Sasha Calle",64,56,7.2,102944835,DCEU
37,The Incredible Hulk,2008,PG-13,2008-06-13,112,Louis Leterrier,"Zak Penn, Stan Lee, Jack Kirby","Edward Norton, Liv Tyler, Tim Roth",67,61,6.6,134806913,MCU
38,The Suicide Squad,2021,R,2021-08-05,132,James Gunn,James Gunn,"Margot Robbie, Idris Elba, John Cena",90,72,7.2,55817425,DCEU
39,Thor,2011,PG-13,2011-05-06,115,Kenneth Branagh,"Ashley Miller, Zack Stentz, Don Payne","Chris Hemsworth, Anthony Hopkins, Natalie Portman",77,57,7.0,181030624,MCU
40,Thor: Love and Thunder,2022,PG-13,2022-07-08,118,Taika Waititi,"Taika Waititi, Jennifer Kaytin Robinson, Stan Lee","Chris Hemsworth, Natalie Portman, Christian Bale",63,57,6.2,343256830,MCU
41,Thor: Ragnarok,2017,PG-13,2017-11-03,130,Taika Waititi,"Eric Pearson, Craig Kyle, Christopher L. Yost","Chris Hemsworth, Tom Hiddleston, Cate Blanchett",93,74,7.9,315058289,MCU
42,Thor: The Dark World,2013,PG-13,2013-11-08,112,Alan Taylor,"Christopher L. Yost, Christopher Markus, Stephen McFeely","Chris Hemsworth, Natalie Portman, Tom Hiddleston",66,54,6.8,206362140,MCU
43,Wonder Woman,2017,PG-13,2017-06-02,141,Patty Jenkins,"Allan Heinberg, Zack Snyder, Jason Fuchs","Gal Gadot, Chris Pine, Robin Wright",93,76,7.4,412845172,DCEU
44,Wonder Woman 1984,2020,PG-13,2020-12-25,151,Patty Jenkins,"Patty Jenkins, Geoff Johns, Dave Callaham","Gal Gadot, Chris Pine, Kristen Wiig",58,60,5.4,46801036,DCEU
45,Zack Snyder's Justice League,2021,R,2021-03-18,242,Zack Snyder,"Jerry Siegel, Joe Shuster, Zack Snyder","Henry Cavill, Ben Affleck, Gal Gadot",71,54,8.0,0,DCEU
